jacoarʉ ʉ,"tío (hermano de mi madre, esposo de la hermana de mi padre; uso: dicho por el hombre). pl. jacoarʉmʉ mesa V. ʉamʉ, mecajo."
jaco maco,"prima (se refiere a la hija de la hermana de la madre, que tiene marido de una etnia distinta del marido de la madre). pl. jaco maco mesa. V. jaco macʉ, jacʉ."
jaco acʉ,"primo (se refiere al hijo de la hermana de la madre, que tiene marido de una etnia distinta del marido de la madre). pl. jaco macʉ mesa V. jaco maco, jacʉ. jaco agʉ jarogo Eduria & Barasana – Español – 126 jaco agʉ especie de oruga"
jaco agʉ,especie de oruga (que pica).
"jacʉ, jaco","m., f. padre, madre; papá, mamá; papi, mami."
"jaigʉ, jaigo","s.v.m., f. 1 (ser) grande (persona, animal). 2 (ser/estar) gordo, gorda (animal, pescado). 3 ser que tiene mucho, mucha."
"jaigʉ bʉsaaca, jaigo bʉsaaca","ser/estar) un poquito más de tamaño (persona masculina, femenina)."
jai ʉjase,"m sẽ J] v.i. subir, crecer (río, caño), inundar."
jairica,"cosa grande (que lleva el clasificador -a como avión, canoa, piedra, dedo). V. ãmowãsoa jairica, cũmua ja r ca, gʉ owãsoa ja r ca, gʉ ta, wʉʉr ca."
jairijaʉ,"jairijʉ r s.v.inan. grande (lugar, cosa)."
jairo,mucho.
jairo bʉsaaca,ó s J] un poquito más. V. ja gʉ ʉsaaca.
jairo mee E,"jairo meje J o mẽ ẽ 1 pocos, no mucho. 2 un poco de."
jairuuse,inundar.
jaise,"crecer, subir (río, caño)."
jaiyujase,"crecer (río, caño)."
jarogo E,"jaroana J ó n f. sobrina (hija de mi hermana mayor o menor; uso: dicho por el hombre). 127 mayor. También la usa para la esposa de su hijo. V. jarogʉ, jãmoco."
jarogʉ E,"jaroʉ J ó m. 1 sobrino (hijo de hermana mayor o menor). 2 yerno (esposo de hija). pl. jarogʉ mesa, jaroʉ mesa. V. buji, jarogʉ, jãmocʉ, jẽjo."
Jasa,río Apaporis. 1.
jasaribota,mediodía.
"jasarimaa E, J","rasarimaa E s.v.inan. camino que sigue a, lleva a."
jasase J,"rasase E v.i. pasar, seguir, comenzar, llevar, conducir (alambre, camino, río)."
jasa siru,arrendajo común. Cacicus cela.
Jasi bota,cerro por el río Cananarí.
jata,especie de rana (no comestible o incomible).
jatajia,canasta provisional (hecha en el monte con hojas de la palma patabá para llevar frutas u otra carga a la casa).
jatiquedire,saltar al suelo.
jatire,saltar.
jatirearodere,"t ód e J] v.i.pl. saltar, brincar, tirarse al agua (personas, animales)."
jatirica,"frutos del árbol waijatiricaʉ (alimentan a los peces). sing. jatirica. pl. jatirica, jatiricari. jatirocaroare jãjare Eduria & Barasana – Español – 128 sinón. wa jat r ca, wa jat r caʉ r caa. V. wa jat r caʉ."
jatirocaroare,"t ó ó e J] v.i.sing. saltar, brincar, tirarse al agua (una persona, animal)."
jatirocawaare,"t ó w J] v.t. estrellarse, chocarse (con otro)."
jatirocayoore,"t ó d ó o e J] v.t.sing. saltar (arriba para agarrar palo, fruta, etc.)."
jatiyijere,"lastimarse, cortarse a sí mismo (por frotar una cosa cortante)."
jatuji,especie de lagarto (comestible).
jatujimecajo,tú mẽ J] an. especie de culebra mordedora (comestible).
jatuji rĩni,inan.s.de masa hojas espumosas (utilizadas para lavar la cara).
jatuji rĩniʉ,"especie de arbusto pequeño que tiene hojas que se utilizan para lavar la cara. pl. jatuj rĩn ʉ yucʉ r V. jatuj rĩn , jatuji rĩn jũu."
jaʉ,"bien!, ¡qué bueno! sinón. aʉ. jaʉtũcuro V. jaatũcuro."
jayare,"flotar (canoa, persona, madera, fruta)."
jãasãare E,jaasãare J s ẽ v.t. poner y cargar (bolsa del hombre).
jãjarã E,"jãrã J cuan.an. mucha (gente), muchos, muchas (animales)."
jãjarã yese E,"jãrã yese J d s an. cafuche, pecarí (anda en manadas y huela horrible). Tayassu pecari."
jãjare,"entrar (caño, jãmo jãnare Eduria & Barasana – Español – 129 cuarto)."
jãmo,"1 armadillo, tatú. Dasypus spp. 2 especie de insecto (hace huecos en la tierra para atrapar otros insectos)."
jãmoa,an.s.plural tatuyos jãmoa (familia del grupo indígena tatuyo).
jãmoco,1 nuera (esposa del hijo; uso: dicho por la mujer). 2 sobrina (hija del hermano mayor o menor; uso: dicho por la mujer).
jã ocʉ,"1 yerno (uso: dicho por la mujer). V. buji, jarogʉ, jẽjo. 2 sobrino (hijo de mi hermano; uso: dicho por la mujer)."
Jãmoriña,"caño Tatú (afluente del río Pirá-Paraná). 1, 3, 4."
jãmoro,"inan., cl.irreg. enramada, emparrado (de bejucos, raíces, palitos, árbol tumbado)."
jã ʉjajare,"salir de la profundidad del agua y flotar (persona nadando debajo del agua, canoa que ha caído en el agua)."
jã ʉore,descortezar la superficie (para sacar la fibra de una palma).
jã ʉre,1 quemarse del sol. 2 salir a la superficie del agua.
jã ʉse,"estar) fermentado, fermentada (cuando el líquido burbujea)."
"jãnami, jãneño","m., f. nieto, nieta (uso: dicho por ambos, la mujer y el hombre), descendiente."
jãnare,"1 abrir (olla, jãneño jea Eduria & Barasana – Español – 130 libro, caja de cartón, puerta). 2 volver la página."
jãneño,nieta. pl. jãneño mesa. V. jãnami.
jãnerã,an.s.plural barasanas (grupo indígena que habla el idioma barasano).
jãnerãbatia,"nietos (uso: término preferido), descendiente."
jãnere,"pelar (palos), descortezar."
Jãñajoero,"cachivera (bras.), raudal, rápido (en el caño Piedra). 2. jãrã J V. jãjarã E. jãrã yese J V. jãjarã yese E. jea fuego"
jea,"s.v.inan.s.de masa 1 fuego, candela. 2 leña."
jea sũ are,calentarse cerca del fuego.
jea muujeore,"mũ o e J] inan.f.n.esp. fulminantes. 131 Compré muchos fulminantes y me vine. sing. jea muujeoriaro. pl. jea muujeore, jea muujeoriarori. V. jea ʉ, jeaje, jea mʉno."
jea ʉno,inan.s.de masa pólvora.
jea rõmia,"revólver, pistola. sinón. jea ʉaca. V. jea ʉ. jeabueco, ño ʉ aje doboa bobo picudo"
jeabueco,pájaro bobo picudo. Notharchus macrorhynchus.
jeabʉ,escopeta.
jeabʉaca,"revólver, pistola."
jeagase,1 cáscara de varias especies de árboles (que se utiliza para hacer el fuego). 2 cáscara del árbol misi gãjoʉ (utilizada para cubrir el frente o la pared principal de la casa).
jeagasebedo,anillo de corteza (para que una olla de comida no se voltee).
jea gʉso,"caimán negro (especie grande, no se encuentra en el río Pirá-Paraná). F. Crocodylus, Melanosuchus niger."
jeajata E,"jeajataro E, jearãca J inan. cajita de fósforos. 132 masa yee cõro jeawacariaca, sãñarijataro ñaaja. Una cajita de fósforos contiene cuarenta unidades. pl. jeajatari, jeajatarori. jeajea, gawa ĩna sãaria cartucho"
jeaje,1 cartuchos de escopeta. 2 balas. sing. jeajea ‘una bala’. 3 municiones.
jeaje sãare,meter plomos en el cartucho vacío (para recargarlo).
jeajĩco jacʉ,especie de escarabajo (produce larva comestible).
jeajoti,"paquete de cajitas de fósforos. V. jeajata. jeame candela, fogón, fuego"
jeame,"inan., cl.irreg. fuego, fogón, candela."
jeamegodo,lugar donde hubo fogón.
jearãca J,"jeajata E, JEAJATARO E inan. cajita de fósforos."
jeare,"partir a lo ancho, a través, en dos (palo, hueso, machete, dardo). 133 dardo en dos. —v.i. partirse a lo ancho, a través, en dos."
jearoto,bulto de leña. V. rujaroto.
jearuare,disparar (escopeta).
jearudire,robar piña.
jeasoare,quemar (parte del cuerpo).
jeatuti,resto de leña (parcialmente quemada).
jeatutia,garcita rayada. Butorides striatus.
"jediro E, J","cuan.an.pl., inan.pl. todos, todas (uso: E, J se usa para cosas, personas, animales; YM se usa solamente para cosas)."
jedise,"1 acabarse, terminarse (cosa). 2 pasar (tiempo)."
jedojiare,hacer cono de hojas.
jedore,"voltear de adentro afuera (ropa, bolsa, costal)."
jedorũnirã,animales que se mudan la piel.
jedorũnire,"1 mudarse la piel (culebra, güío, lagarto, araña, oruga). 2 dar un salto mortal."
jee,"yuruparí (bras., ger.), flautas sagradas."
Jee jũna bota,"cerro ubicado en la cabecera del río Vaupés (uso: se dice menos que Gʉ ta sariʉ). sinón. Gʉ ta sar ʉ, Ʉco jĩno yaa ota. V. gʉ taʉ."
jeerica,toda la fruta comestible de los árboles. 134
jeeri masa,"an.s.plural grupo indígena del menor rango. sing. jeer masʉ, jeeri maso. sinón. gajariana, mani josa."
jejase,caerse encima del otro.
jeje,frutas de la palma jejecaje (comestible).
jejecaje,especie de palma pequeña (que produce fruta comestible y las hojas de ramo utilizadas para las paredes de la casa). V. jejejũu.
jejejoti,retoño de la palma jejecaje. sing. jejejotia. V. rujajotia.
jejejũu,hojas del ramo de la palma jejejũu (utilizadas para hacer paredes).
jejemona,"an.s.plural barasanas jejemona (familia del grupo indígena barasano que habla el idioma barasano y que pertenece a la familia del ascendiente llamado “Meni”). sing. jejemonagʉ , jejemonagõ V. jãnerã."
jejequee,especie de culebra (comestible en los tiempos pasados).
jejetii,tejido de la palma jejecaje. V. rujatii. jeje wẽniro tejido cuadrado para cubrir ollas
jeje wẽniro,tejido cuadrado de las hojas de la palma jejecaje (utilizada para cubrir la comida en las ollas).
Jejeya,"cañito, afluente del río Pirá-Paraná. 3."
jeocãnamuure,"poner junto al otro lado con una parte arriba del otro (madera, hojas)."
jeo ʉjawaare,"o m w J] v.t. guardar, colocar uno encima del otro (tejidos de caraná, libros). 135 uno encima del otro para que queden en orden. V. jeonoriare."
jeonoriare,"apilar, amontonar (libros, piedras, bloques para jugar), poner en fila (libros)."
jeore,1 poner encima de. 2 hacer todo.
jeragasero,especie de insecto (incomible). Corydalus cornutus.
jeruse,cantar (hecho por el macho de la oropéndola).
jesare,"estar encima de (excepto sobre la tierra), posarse en o sobre (ave), montar (caballo, moto)."
jeta,"hormiga yanave (reg.), tocandira o tucandira (bras.), conga (especie de hormiga que pica duro, incomible). Dinoponera grandis Guér, Paraponera clavata."
jeta riarã,"an.s.plural crías de las hormigas yanave, conga, tocandira."
jetabuji,"hormiga yanave (reg. de color negro, pica pero no tan duro como la hormiga yanave jeta, incomible)."
jeta bʉcʉro,especie de avispa. Chalybion californicum.
jetaga,"puerto (sitio/lugar privado de la familia para bañarse, sacar agua, limpiar comida, lavar loza, etc.). 136 wa re gʉda sĩañuju ĩ Él bajó al puerto, y destripó el pescado. V. cũmu jetaga, guariajetaga."
jetari sʉ na,an.s.plural tatuyos jetari sʉ na (un grupo indígena de los tatuyos que vive en el alto Pirá-Paraná).
jetasũi J,"jĩcatoi E ĩ tõĩ an. pájaro asoma sombría (rojo, criado por la gente, tiene huevos de color azul con manchitas negras). Ramphocelus carbo."
jeta wãsoʉ,"especie de arbusto (utilizado para la caña, vara de pescar)."
"jeyʉ, jeyo","m., f. enemigo, enemiga (lit. él que uno no quiere ver, ella que uno no quiere ver; por ejemplo: por celos porque él/ella cometió adulterio)."
jẽare,cruzar (río o caño).
jẽariagũ u,puente hecho de un solo palo.
"jẽjo E, J",jarogo E f. nuera (nuera (esposa del hijo; uso: dicho por el hombre).
jẽjʉ,"temprano, más temprano (hoy)."
jẽnirã,"s.v.an.s.plural animales que trepan en los árboles (micos, perezosos, ardillas, culebras, etc.)."
jẽnire,trepar de un árbol a otro.
jẽnise,"transmitirse, contagiarse con, de, por (la transmisión de una enfermedad)."
jẽnituaro,más (palabra que se utiliza en contar).
jẽñare,"pintar un iniciado (con carayurú, hecho por la mujer). V. jẽñar , sũore."
"jẽñarii, jẽñario","s.v.m., f. iniciado pintado con carayurú (uso: jẽore jicua Eduria & Barasana – Español – 137 dicho por la mujer); f. jẽñario la mujer que le ha pintado (uso: dicho por el iniciado)."
jẽore,"prender (radio, motor, avioneta, planta), encender (luz, fósforo)."
jẽosãare,transmitir poderes a otro (se refiere al chamán y al danzador principal).
jẽre,ya (antes de ahora).
jíajuse,"sentir un malestar en el estómago, sufrir de indigestión."
jiare,"1 entrampar, hacer una trampa para termitas comestibles. 2 elaborar la caja para guardar plumajes para la danza. 3 formar láminas anchas con hojas de la palma guiwaca para hacer paredes."
jíare,"entrar al camino desde el monte, a la chagra desde el camino, al patio desde el camino o la selva, etc."
jíase,"estar) agrio, agria (limón, lulo, casabe hecho del almidón guardado por demasiado tiempo), dañada (comida)."
jiasẽa ʉ,"milano tijereta (pájaro negro, del tamaño medio, incomible). Elanoides forficatus."
jibʉbedo,"bejuco curvado, enrollado (utilizado para agitar coca y el borde de la canasta para llevar carga)."
jibʉbedo aa,edó m J] inan. especie de bejuco (utilizado para hacer el bejuco enrollado para agitar coca y el borde de la canasta para llevar carga).
jicua,"canasta pequeña para mujer (tejida en forma compacta). 138 mujeres utilizan la canasta jicua para guardar sus cosas. V. j ʉ, ruja ʉ."
jidijeore,dejar encima de algo.
jidiqueore,soltar dejándolo caer (una cosa como una fruta).
jidire,soltar.
jidirocare,"lanzar, tirar (una flecha de un arco)."
jidirujiore,dejar bajar.
jidituure,"poner, dejar (cosa) al lado de la pared o árbol."
jidiwẽjare,dejar caer (cosas).
jidiyoore,"colgar (cosa, olla)."
jido,"1 boca, embocadura de caño o río. 2 donde un camino empieza desde otro."
jiibʉ,1 canasta (con tejido flojo para llevar carga). 2 nido del oropéndola.
jiibʉ awe,atadura de canasta. 139 espalda).
jiimiore J,jiirẽore E v.t. reunir.
jiimoore,llamar (para que otro ascienda un cerro).
jiire,"ordenar que venga, invitar a una danza."
jiirẽore E,jiimiore J v.caus. reunir a.
jiisõore,"invitar, llamar para que entre a la casa."
jiiweore,"llevar al compañero de otro, dejándolo solo."
jioidiriabaja,"ó d J] s.v.inan. tazón. sinón. baáre jeoriabaja, baáre jeoriacooro, baáre sãariabaja, baáriabaja."
jiore,"verter, echar, derramar (líquido, fariña); tanquear, echar (gasolina)."
jioreagoore,"vaciar (comida, tierra; uso: no se usa para líquidos)."
jioreare,"botar (basura), verter (comida, tierra; uso: no se usa para líquidos)."
jiosãare,"echar en algo, llenar por verter o vaciar (fariña; uso: no se usa para líquidos)."
jisãarã,an.s.plural tangaras jisãarã (especie de pájaro). Tangara spp.
jitiri,"sirirí sureño, papamoscas, doral, muscaria. Tyrannus niveigularis."
jiyarisa,"cañito, tributario pequeño. 140"
jiyase,desembocar en.
jĩare,"arrancar (tronco, raíz, diente), sacar (espina, diente)."
jĩcatoi E,"jetasũi J e t s ĩ an. pájaro asoma sombría (rojo, criado por la gente, tiene huevos de color azul con manchitas negras). Ramphocelus carbo."
jĩco,"gusano, larva de algunos cucarrones, escarabajos (que come madera)."
jĩcó,caries (la causa de dolor de diente o muela).
tiene una cola con plumaje rayado. pl. jĩcó,"sing. jĩcoa ‘una pluma’. V. jĩcoro ‘cola de an males’, apén. dibujo de la corona de la danza tejida para las plumas del mochilero."
jĩcojeʉ,"especie de árbol (inútil, produce fruto no comestible)."
jĩco ene,"1 guamas jĩco ene (especie comestible, silvestre; uso: se dice menos que bue mene), jĩco ene ice-cream bean fruit, guama fruit (edible, wild species; use: said less than bue mene). sing. jĩcomenero pl. jĩcomene, jĩcomeneror ‘ guamas’ . 2 especie del guamo silvestre. sing. jĩcomeneʉ pl. jĩcomeneʉ yucʉ , jĩcomeneʉ yucʉ r ‘guamos’. sinón. bue mene."
jĩco eneʉ,"especie de guamo silvestre (uso: se dice menos que bue eneʉ). pl. jĩcomeneʉ yucʉ , jĩcomeneʉ yucʉ r ‘guamos’. sinón. ue meneʉ."
jĩcoro,cola de animales (excluyendo los pájaros).
jĩcoroa,"an.s.plural gusanos jĩcoroa (especie comestible, como los mojojoy pero más pequeño). 141 jĩcoroa cõne carpintero selvático"
jĩcoroa yucua,ĩ õ d u ú J] an.s.plural gusanos jĩcoroa yucua (especie comestible).
jĩco sũaroa,an.s.plural sardinas colirrojas jĩco sũaroa.
jĩijũu,hojas jĩijũu de un arbusto (amargas).
jĩijũʉ,"especie de arbusto con hojas amargas. pl. jĩ jũu yucʉ , jĩ jũu yucʉ r V. jĩ jũu."
jĩiyire,"sonarse, limpiarse (las narices)."
jĩno,"güío, anaconda, boa (nombre general para culebras no venenosas que agarran sus víctimas por morderlas y las matan por apretarlas hasta que se mueren, y que se encuentran cerca de o en ríos o caños (desde el punto de vista de la gente indígena). Boa constrictor, Eunectes murinus."
jĩno jogoro,lagunero cenizo (especie de halcón). Circus cinereus.
jĩcoroa cõne,pájaro jĩno ʉ joa Eduria & Barasana – Español – 142 carpintero selvático. Campephilus haematogaster.
jĩno ʉ,"jĩnobʉ inan. matafrío (reg.), cebucán o sebucán (colador cylíndrico con que se separa el yare del almidón de la yuca)."
jĩno riacata,"piquero patiazul (especie de ave acuática). Sula nebouxii. pl. jĩno r acata sinón. wãnari. V. cata, riacata. wai jĩore ensartar pescado con un bejuco"
jĩore,"enhebrar (aguja), chaquilar (pepas, chaquiras), ensartar (pescado con un bejuco)."
joa,"frutas joa (de una especie de mata con vainas largas y negras, y con pepas largas semejante a fríjoles; las pepas son cubiertas con una substancia dulce y comestible.). 1 el pelo, pelos; el cabello, cabellos (persona, animal). 2 plumaje, plumas de pájaro. 3 alas de mariposa y otros insectos."
joa abea jeore,ó o e J] recoger el pelo en un moño. sinón. joa ãmijeore. V. rujaabea. joa ãmijeore recoger el pelo en un moño. sinón. joa abeajeore. Joajũna jogoro misi Eduria & Barasana – Español – 143 joa jĩosuare s.v.inan.f.n.esp. ganchos.
joa siaria,"broche del cabello, pasador del pelo (utilizado para recoger el pelo)."
joa soroa jedigʉ,ó só ó d g J] s.v.m. pajarito que tiene plumas recientemente brotadas.
joa suariaro,ó sú ó J] s.v.inan. tijeras.
Joajũna,"cachivera (bras.), raudal, rápido por el río Pirá-Paraná. 2."
joa ʉnoʉ,especie de arbusto (que se utiliza para hacer varas para pescar).
joañajo,cabello suelto (cabello de mujeres cuando no está en forma de un moño o castaña).
joare,retorcer para abrir (frutas como guamas para comer).
joaroa,"an.s.plural hormigas joaroa (especie incomible, muy pequeña)."
Joaya,río Papurí. V. apén. mapa1.
jode,"cabecera, fuente, nacimiento del río."
